wellName,DEPTH,CGR,CPERM,CPHI,DT,DTSM,Facies,GR,MSFL,NPHI,PEF,Perm_Buckles_UpAs,PHIE,RHOB,RT,SWE,ZONE_NAME,net_gross
A-18-00,852.857,4.91913,-9999,-9999,74.527,121.9698,1,33.3418,5.79568,0.0798337,4.783249,0.9310106,0.07216708,2.74411,10.2715,0.7376524,U.Asmari,gross
A-18-00,853.01,9.99433,-9999,-9999,88.8155,141.6838,1,53.4034,2.36973,0.151655,4.399977,9.209792,0.146527,2.61065,2.98569,0.6676235,U.Asmari,gross
A-18-00,853.162,20.564,-9999,-9999,99.0574,166.7016,5,72.0957,1.31614,0.231567,4.0307,1.601786,0.2201624,2.47339,1.38781,0.6438156,U.Asmari,gross
A-18-00,853.314,31.7155,-9999,-9999,104.787,182.5868,5,78.3783,1.20371,0.287493,3.732858,3.690761,0.2765887,2.35818,1.2205,0.5417101,U.Asmari,net
A-18-00,853.467,37.7088,-9999,0.428800011,104.898,185.0199,5,70.4172,1.42773,0.297283,3.520631,5.106259,0.301175,2.29512,1.55953,0.4383427,U.Asmari,net
A-18-00,853.619,35.5809,-9999,0.412599983,99.2912,178.66,5,58.2256,1.63194,0.269803,3.399365,4.512031,0.2916322,2.30063,2.00609,0.39976,U.Asmari,net
A-18-00,853.772,28.679,-9999,-9999,91.7247,168.8887,5,50.9648,1.69673,0.237844,3.353567,3.159364,0.2653369,2.35175,2.26006,0.4162532,U.Asmari,net
A-18-00,853.924,23.1395,-9999,-9999,86.5516,158.7577,5,49.3496,1.64946,0.223726,3.345967,2.412882,0.2466349,2.39666,2.25747,0.4504364,U.Asmari,gross
A-18-00,854.076,21.0437,-9999,-9999,85.1543,153.1469,5,51.4959,1.47072,0.228359,3.324035,2.340183,0.244577,2.40979,1.98769,0.485269,U.Asmari,gross
A-18-00,854.229,21.9205,-9999,0.220100002,85.8205,153.4092,5,56.793,1.34077,0.240659,3.27547,2.469872,0.2482141,2.40954,1.76222,0.5073639,U.Asmari,gross
A-18-00,854.381,25.5151,-9999,0.245799999,86.4174,156.785,5,62.2598,1.32257,0.252406,3.226846,2.421987,0.2468892,2.41602,1.69847,0.5171552,U.Asmari,gross
A-18-00,854.534,30.7473,-9999,-9999,86.6582,160.3057,5,63.8087,1.31603,0.260712,3.210231,2.298132,0.2433635,2.42207,1.68062,0.5237041,U.Asmari,gross
A-18-00,854.686,33.7139,-9999,-9999,86.4899,163.839,5,62.4543,1.29547,0.258939,3.235489,2.311553,0.2437527,2.41426,1.69149,0.5191892,U.Asmari,gross
